Date	RMRFEU	SMBEU	HMLEU	WMLEU	RMRFNA	SMBNA	HMLNA	WMLNA	RMRFJAP	SMBJAP	HMLJAP	WMLJAP
01.02.2008	1.96	2.71	-0.51	1.76	-2.24	0.46	-0.22	6.98	1.01	2.06	-0.64	2.16
01.03.2008	0.26	-0.57	2.37	0.23	-1.3	-0.33	0.39	0.74	-3.71	3.12	1.7	3.03
01.04.2008	4.41	-2.55	-0.01	0.15	4.73	-2.06	0.07	1.54	6.22	-6.42	-1.29	-8.58
01.05.2008	0.85	0.48	-1.17	4.4	2.41	3.05	-2.74	3.46	2.03	1.23	1.18	-3.55
01.06.2008	-8.68	1.68	-0.7	9.49	-7.9	1.02	-2.8	11.24	-6.61	1.19	3.68	4.67
01.07.2008	-3.83	-2.16	0.95	-2.23	-1.54	2.32	1.69	-7.75	-3.12	-1.46	2.31	0.85
01.08.2008	-4.57	0.11	-0.09	-4.99	1	1.92	1.07	-5.14	-4.36	-2.87	1.13	3.39
01.09.2008	-15.07	-3.1	0.91	3.77	-9.96	-1.54	4.07	-2.69	-10.5	1.12	5.22	0.88
01.10.2008	-22.02	-4.91	-3.53	10.14	-18.41	-3.98	-0.48	5.49	-13.55	3.94	4.53	8.45
01.11.2008	-7.18	-0.99	-3.63	2.39	-7.74	-4.17	-3.11	5.57	0.05	3.96	-0.03	5.78
01.12.2008	6.7	-1.47	1.21	-0.72	1.5	4.94	-1.57	-3.76	8.57	0.78	0.26	1.23
01.01.2009	-10.99	4.92	-4.05	3.32	-7.52	-0.48	-7.26	-2.61	-6.5	3.69	-0.1	-1.05
01.02.2009	-9.96	4.55	-4.23	4.5	-9.89	-0.08	-5.54	2.37	-11.93	-1.14	0.6	-0.56
01.03.2009	6.94	-2.54	1.46	-10.31	8.81	0.17	1.01	-8.07	1.3	0.08	0.72	-10.54
01.04.2009	13.67	1.81	6.66	-26.09	10.49	5.29	4.25	-25	8.05	-3.82	-1.39	-15.6
01.05.2009	12.86	1.27	-1.24	-7.71	6.68	-1.21	-0.08	-10.78	10.89	2.19	-3.44	-8.94
01.06.2009	-1.87	1.56	-1.19	2.46	-0.22	2.14	-3.08	4.75	2.85	4.52	0.05	-3.62
01.07.2009	10.18	-3.92	3.78	-1.56	8.14	1.35	4.59	-4.85	4.06	-1.39	0.61	-1.42
01.08.2009	5.65	1.85	7.53	-9.28	3.02	-0.57	5.49	-6.55	3.4	2.95	-0.39	-0.65
01.09.2009	5.43	1.68	1.13	-2.8	4.54	2.87	1.51	-4.03	-0.84	2.11	-4.82	3.27
01.10.2009	-1.85	1.63	-3.28	3.7	-2.75	-3.43	-2.6	0.42	-2.29	-0.58	1.23	-0.72
01.11.2009	3	-2.04	-1.22	1.91	5.76	-2.19	-0.15	1.96	-2	-3.07	-4	-3.52
